ASN,CC,IP,numberOfIPs,abusePercent
10000,Unknown,1,69360,1.4417531718569781e-05
10002,Unknown,1,24480,4.0849673202614376e-05
10003,Unknown,2,36720,5.446623093681917e-05
10010,Unknown,32,1427745,2.2412965900773598e-05
10011,Unknown,3,18360,0.0001633986928104575
10013,Unknown,14,1913775,7.3153845148985646e-06
10019,Unknown,2,34680,5.7670126874279124e-05
10021,Unknown,1,123420,8.102414519526817e-06
10024,SG,1,23460,4.262574595055413e-05
10029,IN,38,124950,0.00030412164865946384
10030,MY,6,74460,8.058017727639001e-05
10036,Unknown,16,855016,1.8713100105729016e-05
10037,Unknown,21,204429,0.0001027251515195985
10049,Unknown,2,129030,1.5500271254746953e-05
10054,Unknown,1023,75480,0.013553259141494436
10066,Unknown,13,139387,9.326551256573424e-05
10076,MN,3,4080,0.0007352941176470588
10085,TW,3,16575,0.00018099547511312217
10091,SG,8,273105,2.9292762856776697e-05
10094,BN,10,116790,8.562376915831835e-05
10098,HK,1,52020,1.922337562475971e-05
10099,HK,1,19380,5.1599587203302365e-05
10103,HK,6,96896,6.19220607661823e-05
10105,AU,1,8160,0.00012254901960784314
10109,MN,2,2040,0.0009803921568627449
10112,PK,2,510,0.0039215686274509795
10118,HK,2,43605,4.586629973626878e-05
10131,CK,2,6630,0.00030165912518853697
10135,TW,2,16320,0.00012254901960784314
10136,HK,3,255,0.011764705882352941
10137,ID,3,4845,0.0006191950464396285
10139,PH,17,175695,9.675858732462506e-05
10143,AU,11,175022,6.284924180960108e-05
10148,AU,1,81345,1.2293318581351035e-05
10164,Unknown,1,69360,1.4417531718569781e-05
10175,Unknown,9,45900,0.000196078431372549
10204,MY,1,18105,5.5233360950013806e-05
10212,CN,1,108630,9.205560158335634e-06
10219,MN,13,10455,0.0012434241989478718
10225,IN,8,9180,0.0008714596949891067
10226,LA,7,10200,0.0006862745098039216
10242,US,7,86445,8.097634333969576e-05
10269,BZ,19,66300,0.0002865761689291101
10279,US,5,21420,0.00023342670401493927
10292,JM,3,18105,0.00016570008285004143
10297,US,10,89760,0.00011140819964349375
10299,CO,14,95115,0.00014719024338958104
10318,AR,195,1443300,0.00013510704635210974
10352,US,1,31875,3.137254901960784e-05
10364,US,2,65853,3.0370674077111138e-05
10396,PR,10,268770,3.720653346727685e-05
104,US,1,75225,1.3293452974410105e-05
10412,BR,6,31620,0.00018975332068311195
10429,BR,42,1525920,2.7524378735451396e-05
10430,US,2,549015,3.64288771709334e-06
10439,US,286,106335,0.002689613015469977
10457,US,3,6885,0.00043572984749455336
10464,US,1,26520,3.770739064856712e-05
10474,ZA,39,1428255,2.730604828969617e-05
10481,AR,219,1767150,0.00012392835922247686
10489,US,2,7140,0.00028011204481792715
10507,US,124,7938660,1.5619764544646075e-05
10569,CU,11,65280,0.0001685049019607843
10587,US,1,32130,3.112356053532524e-05
10594,US,1,17850,5.6022408963585436e-05
10599,US,1530,131580,0.011627906976744186
10617,AR,3,50745,5.911912503694945e-05
10620,CO,155,2190195,7.076995427347793e-05
10680,US,1,9692,0.0001031778786628147
10697,AR,1,4845,0.0002063983488132095
10704,BR,16320,32640,0.5
10753,US,1,342018,2.9238227227806725e-06
10778,CL,3,30090,9.970089730807575e-05
10796,US,232,6716190,3.454339439473868e-05
10834,AR,20,360825,5.5428531836762975e-05
10835,US,4,108120,3.6995930447650765e-05
10838,US,3,155295,1.931807205640877e-05
10879,US,1,143310,6.977880120019537e-06
10881,BR,1,114240,8.753501400560222e-06
10886,US,1,5100,0.000196078431372549
109,US,5,1152090,4.339938720065274e-06
10906,BR,1,510,0.0019607843137254897
10912,Unknown,510,55080,0.009259259259259259
10929,CA,8,60435,0.00013237362455530735
10930,US,2,2040,0.0009803921568627449
10947,US,2,5865,0.00034100596760443307
10955,US,1,65280,1.5318627450980392e-05
10971,US,1,17595,5.683432793407218e-05
10996,CA,2,21420,9.337068160597572e-05
1101,NL,18,1896690,9.490217167802857e-06
11014,AR,29,46410,0.0006248653307476836
1102,NL,1,765,0.00130718954248366
11025,US,1,39270,2.5464731347084288e-05
1103,NL,16,5795229,2.7608917611366177e-06
11042,US,12,109395,0.00010969422734128616
11051,US,6,31875,0.00018823529411764707
11061,US,2,12240,0.0001633986928104575
11067,US,2,20400,9.80392156862745e-05
11071,US,2,32130,6.224712107065048e-05
11081,CW,12,102000,0.00011764705882352942
11090,US,2,33915,5.897095680377414e-05
111,US,21,200430,0.00010477473432120941
1110,AT,1,65280,1.5318627450980392e-05
11114,US,3,20395,0.00014709487619514588
11115,US,1,9945,0.00010055304172951231
11118,US,1,4080,0.00024509803921568627
11123,US,1,23715,4.21674045962471e-05
11131,US,1,81600,1.2254901960784313e-05
11139,DM,30,132600,0.00022624434389140272
11158,US,1,1275,0.000784313725490196
11167,US,192,4590,0.04183006535947712
11170,US,1,3825,0.00026143790849673205
11172,MX,36,565080,6.370779358674878e-05
11194,US,1,9945,0.00010055304172951231
11195,US,1,5610,0.00017825311942958999
1120,EU,5,525,0.009523809523809523
11200,US,1,510,0.0019607843137254897
11215,US,9,149175,6.0331825037707385e-05
11232,US,26,647190,4.017367388247655e-05
11234,Unknown,1,255,0.0039215686274509795
11259,AO,4,270555,1.478442460867476e-05
11260,CA,41,300390,0.00013648923066679982
11272,US,9,215985,4.166956038613793e-05
11279,US,1,65790,1.5199878400972793e-05
11282,US,2,65280,3.0637254901960784e-05
11284,BR,1,510,0.0019607843137254897
11287,CA,2,11475,0.00017429193899782134
11290,CA,11,254235,4.32670560701713e-05
11315,AR,1,246075,4.0638016864777e-06
11320,US,1,85680,1.1671335200746965e-05
1133,NL,3,65535,4.577706569008927e-05
11340,CL,6,102510,5.85308750365818e-05
11342,CA,1,52020,1.922337562475971e-05
11343,US,8,1275,0.006274509803921568
11351,US,112,4942665,2.265984038974925e-05
11353,US,1,17340,5.7670126874279124e-05
1136,EU,81,6245970,1.2968361999817482e-05
11377,US,9,108120,8.324084350721421e-05
11392,AR,1,1020,0.0009803921568627449
11395,US,1,255,0.0039215686274509795
11397,US,2,6120,0.000326797385620915
11398,US,2,91035,2.1969572142582527e-05
1140,NL,2,3315,0.0006033182503770738
11402,US,2,28560,7.002801120448179e-05
11403,US,12,47940,0.0002503128911138924
11404,US,51,688877,7.403353574005228e-05
11419,BR,10,48960,0.0002042483660130719
11426,US,141,4504575,3.130151013136645e-05
11427,US,192,4549710,4.2200491899483706e-05
11432,BR,2,42585,4.696489374192791e-05
11440,US,1,3570,0.00028011204481792715
11488,US,1,141015,7.091444172605752e-06
11492,US,40,953951,4.193087485625572e-05
11550,US,1,35325,2.8308563340410474e-05
11556,PA,20,783360,2.553104575163399e-05
11562,VE,5,55335,9.03587241348152e-05
11577,US,1,130560,7.659313725490196e-06
11580,JM,2,510,0.0039215686274509795
11581,CO,2,19635,0.00010185892538833715
11588,US,4,10965,0.000364797081623347
11590,US,1,25755,3.882741215298001e-05
11596,US,2,130305,1.534860519550286e-05
11597,US,1,10710,9.337068160597572e-05
11605,US,1,255,0.0039215686274509795
1161,NL,1,70380,1.4208581983518046e-05
11644,BR,1,510,0.0019607843137254897
11650,US,3,40800,7.352941176470589e-05
11663,US,1,399075,2.5057946501284217e-06
11664,AR,12,709410,1.6915464963843194e-05
11666,CA,2,79815,2.505794650128422e-05
11681,US,1,5610,0.00017825311942958999
11686,US,5,340935,1.4665552084708227e-05
11694,VE,1,65280,1.5318627450980392e-05
11698,US,1,4845,0.0002063983488132095
11711,US,1,17595,5.683432793407218e-05
11713,US,1,510,0.0019607843137254897
11719,US,1,197625,5.060088551549652e-06
11722,US,1,11985,8.343763037129746e-05
11753,US,1,5100,0.000196078431372549
11776,US,60,159375,0.0003764705882352941
11791,US,1,1530,0.00065359477124183
11796,US,5,112455,4.4462229336178915e-05
11798,US,1,290190,3.446018126055343e-06
11814,CA,14,300135,4.6645676112416086e-05
11815,AR,3,21420,0.00014005602240896358
11816,AW,5,71145,7.027900766041184e-05
11830,CR,59,1408680,4.1883181418065146e-05
11831,CA,1,16065,6.224712107065048e-05
11834,US,1,131325,7.614696363982486e-06
11835,BR,7,33399,0.00020958711338662836
11844,BR,1,18360,5.446623093681917e-05
11845,ZA,28,220575,0.00012694094979032075
11850,US,1,4080,0.00024509803921568627
11878,US,10,140760,7.104290991759022e-05
11888,MX,23,489855,4.6952669667554686e-05
11904,US,1,11730,8.525149190110827e-05
11915,US,1,78540,1.2732365673542144e-05
11921,BR,1,28560,3.501400560224089e-05
11960,CU,1,255,0.0039215686274509795
11961,US,1,24480,4.0849673202614376e-05
11976,US,7,113985,6.141158924419879e-05
11979,US,1,107865,9.270847819033051e-06
11993,BR,1,67320,1.4854426619132501e-05
11994,US,2,15300,0.00013071895424836605
1200,NL,1,5100,0.000196078431372549
12008,US,1057,27783,0.038044847568657086
12025,US,7,119850,5.840634125990821e-05
12035,US,9,108630,8.285004142502072e-05
12041,US,625,121635,0.005138323673284827
12042,US,1,99705,1.0029587282483324e-05
12046,EU,2,12495,0.0001600640256102441
1205,AT,1,67320,1.4854426619132501e-05
12066,DO,4,55335,7.228697930785217e-05
12083,US,70,1128600,6.202374623427255e-05
12093,CA,3,65535,4.577706569008927e-05
12097,US,3,58395,5.137426149499101e-05
12128,US,3,510,0.005882352941176471
12129,US,2,160905,1.2429694540256673e-05
1213,IE,1,1832175,5.457993914336786e-07
12132,CA,5,12495,0.0004001600640256103
12133,US,1,25755,3.882741215298001e-05
12136,BR,1,510,0.0019607843137254897
12143,TZ,7,14535,0.0004815961472308221
12145,US,1,81345,1.2293318581351035e-05
12147,US,1,2295,0.00043572984749455336
12150,AR,2,9180,0.00021786492374727668
12155,US,1,2040,0.0004901960784313724
12161,US,1,765,0.00130718954248366
12175,US,1,18615,5.372011818426001e-05
12177,US,5,32130,0.00015561780267662619
12180,Unknown,514,103275,0.004977003146937786
12195,Unknown,255,8160,0.03125
12208,US,3,34921,8.59081927779846e-05
1221,AU,220,11082260,1.985154652570865e-05
12212,CA,3,7905,0.00037950664136622385
1224,US,1,130687,7.651870499743664e-06
12241,US,1,7905,0.0001265022137887413
12252,PE,68,630870,0.00010778765831312316
1226,US,1,1099305,9.096656523894642e-07
12260,US,3,29580,0.00010141987829614604
12266,US,1,4080,0.00024509803921568627
12271,US,140,3204961,4.3682278817121334e-05
12272,US,1,1020,0.0009803921568627449
12282,US,1,33660,2.9708853238265002e-05
12297,AM,36,154020,0.00023373587845734321
12301,HU,47,672180,6.992174715106073e-05
12302,RO,16,268260,5.964362931484381e-05
12303,HU,2,2805,0.0007130124777183599
