ASN|CC|AS_Name
10000|Unknown|AS10000
10001|Unknown|AS10001
10002|Unknown|AS10002
10003|Unknown|AS10003
10004|Unknown|AS10004
10006|Unknown|AS10006
1000|Unknown|AS1000
10010|Unknown|AS10010
10011|Unknown|AS10011
10012|Unknown|AS10012
10013|Unknown|AS10013
10014|Unknown|AS10014
10015|Unknown|AS10015
10016|Unknown|AS10016
10019|Unknown|AS10019
10021|Unknown|AS10021
10022|NZ|DSLAK-AS-AP Internet access for Datacom Systems Auckland
10023|AU|SNOOPA-TRANSIT-AS-AP Vixtel Pty Ltd
10024|SG|LGA-AS-SG-AP LGA International
10025|AU|IUSN-AS-AP The IUSN Foundation
10026|JP|PACNET Pacnet Global Ltd
10029|IN|SHYAMSPECTRA-AS SHYAM SPECTRA PVT LTD
10030|MY|CELCOMNET-AP Celcom Internet Service Provider
10031|SG|WEBSATMEDIA-AS WEBSATMEDIA PTE LTD, Satellite Over IP, Singapore
10032|HK|HGC-AS-AP Hutchison Global Crossing Ltd.
10034|KR|GARAK-AS-KR SEOUL AGRICULTURAL & MARINE PRODUCTS CORP.
10035|Unknown|AS10035
10036|Unknown|AS10036
10037|Unknown|AS10037
10038|Unknown|AS10038
10039|Unknown|AS10039
10040|Unknown|AS10040
10041|Unknown|AS10041
10042|Unknown|AS10042
10043|Unknown|AS10043
10044|Unknown|AS10044
10045|Unknown|AS10045
10046|Unknown|AS10046
10047|Unknown|AS10047
10049|Unknown|AS10049
10050|Unknown|AS10050
10051|Unknown|AS10051
10052|Unknown|AS10052
10053|Unknown|AS10053
10054|Unknown|AS10054
10055|Unknown|AS10055
10056|Unknown|AS10056
10058|Unknown|AS10058
10059|Unknown|AS10059
10060|Unknown|AS10060
10061|Unknown|AS10061
10062|Unknown|AS10062
10063|Unknown|AS10063
10064|Unknown|AS10064
10065|Unknown|AS10065
10066|Unknown|AS10066
10067|Unknown|AS10067
10069|Unknown|AS10069
10070|Unknown|AS10070
10071|Unknown|AS10071
10072|Unknown|AS10072
10073|Unknown|AS10073
10074|SG|IVANET-SIN-AP iBasis Singapore ICO
10075|BD|AS10075
10076|MN|ASN-ERDEMNET # AS-ERDEMNET CONVERTED TO ASN-ERDEMNET FOR RPSL COMPLIANCE ERDEMNET Mongolian National Research and Education Network
10077|IN|TIKONAIN-AS Tikona Infinet Ltd.
10080|AU|RIS-AS-AP B.L NANKIVELL & R.G NANKIVELL T/A RBE INTERNET SERVICES
10081|MY|DIGI-MY DiGi Telecommunications Sdn Bhd
10082|HK|MS-HK-AS-AP Morgan Stanley Asia Limited
10083|AU|CYNERGIC-AS-AP Cynergic (NSW) Peering AS Number
10084|AU|WAIA-TRANSIT-AP Western Australian Internet Association
10085|TW|UNIGATE-OVERSEA-IX-AP PEER WITH OVERSEA ISP
10088|KR|KWANGWOON-AS-KR KWANGWOON UNIVERSITY
10089|TH|DTNCORP-TH-AP Total Access Communication PLC.
10091|SG|SCV-AS-AP StarHub Cable Vision Ltd
10094|BN|BRUNET-ASN BruNet - Telekom Brunei Berhad
10096|PH|EASYCALL-PH-AS Easycall Communications Phils., Inc.
10097|AU|FLOWCOM Flow Communications 2/541 Kent St Sydney NSW 2000
10098|HK|HENDERSON-HK Henderson Data Centre Limited
10099|HK|UNICOM-GLOBAL China Unicom Global
100|US|FMC-CTC - FMC Central Engineering Laboratories
10100|CH|ASN-AP-UBSW # AS-AP-UBSW CONVERTED TO ASN-AP-UBSW FOR RPSL COMPLIANCE UBS Autonomous System Asia-Pacific
10101|BN|SIMPUR-BN Simpur ISP
10102|SG|SG-1ASIACOM-AS-AP 1Asia Communication Pte Ltd
10103|HK|HKBN-AS-AP HK Broadband Network Ltd.
10105|AU|OMNI OMNIconnect Pty Ltd
10106|AU|GIPPSTAFE-AS-AP Federation Training
10108|HK|DRESDNERHK-AP DRESDNER KLEINWORT WASSERSTEIN
10109|MN|TOPNET-AS-MN-AP Topica LLC, Internet Service Provider,Ulaanbaatar, Mongolia
10110|NZ|ASN-MITNZ-AP # AS-MITNZ-AP CONVERTED TO ASN-MITNZ-AP FOR RPSL COMPLIANCE Manukau Institute of Technology
10112|PK|VALUEHOSTED-AS THE VALUE HOSTED (PVT.) LIMITED
10113|AU|EFTEL-AS-AP Eftel Limited.
10115|AU|ATOAS-AP Australian Taxation OAffice
10116|HK|HTCL-WAP-HK-AP Hutchison Telephone Company Limited
10118|HK|HTCL-IAS-HK-AP Hutchison Telephone Company Limited
10120|SG|IBM-SG-AP IBM Sinapore Server Farm
10121|IN|RMS-AS-AP RISK MANAGEMENT SOLUTIONS INDIA PRIVATE LIMITED
10125|IN|INTERGLOBE-AS-AP INTERGLOBE IS A LARGE BPO AND IT COMPANY IN TRAVEL DOMA
10126|TW|CHTI-IP-AP Taiwan Internet Gateway
10127|HK|CLSA-AS-AP CLSA Ltd
10128|AU|IAG-AS-AP Optus Customer Network
10129|AU|SSMB-AS-AP Salomon Smith Barney Australia Pty Ltd
10130|FM|AS10130 FSM Telecommunications Corporation
10131|CK|CKTELECOM-CK-AP Telecom Cook Islands
10133|TW|CHIEF-AS Chief Telecom Inc.
10135|TW|EASPNET-AS-AP EASPNET Inc.
10136|HK|PSWITCH-HK PACSWITCH NETWORK
10137|ID|PATRANET-AP Patrakom Internet Service Provider
10138|HK|IVANET-SYD-AP iBasis-Sydney ICO
10139|PH|SMARTBRO-PH-AP Smart Broadband, Inc.
1013|Unknown|AS1013
10141|PH|DFNN-AS-AP DFNN Group of Companies
10143|AU|EXETEL-AS-AP Exetel Pty Ltd
10145|AU|SECUREIP-AP SecureIP
10146|SG|FORD-MOTOR-CO-SG-AP Ford Motor Company
10148|AU|UNIMELB-AS-AP The University of Melbourne, Melbourne, Victoria
10150|AU|TENNET-AU-AP Optus Customer Network
10151|TH|ITONE-CSLOXINFO-AS-TH-AP IT One Co., Ltd.
10152|AU|NEC-MELB-DC-AS-AP NEC Australia Pty Ltd
10154|KR|USE-AS-KR ULSAN Office of Education
10156|Unknown|AS10156
10157|Unknown|AS10157
10158|Unknown|AS10158
10159|Unknown|AS10159
10160|Unknown|AS10160
10161|Unknown|AS10161
10162|Unknown|AS10162
10164|Unknown|AS10164
10165|Unknown|AS10165
10166|Unknown|AS10166
10167|Unknown|AS10167
10168|Unknown|AS10168
10169|Unknown|AS10169
10170|Unknown|AS10170
10171|Unknown|AS10171
10173|Unknown|AS10173
10174|Unknown|AS10174
10175|Unknown|AS10175
10176|Unknown|AS10176
10177|Unknown|AS10177
10179|Unknown|AS10179
10180|Unknown|AS10180
10181|Unknown|AS10181
10182|Unknown|AS10182
10183|Unknown|AS10183
10184|Unknown|AS10184
10185|Unknown|AS10185
10186|Unknown|AS10186
10187|Unknown|AS10187
10188|Unknown|AS10188
10189|Unknown|AS10189
10190|Unknown|AS10190
10191|Unknown|AS10191
10192|Unknown|AS10192
10193|Unknown|AS10193
10194|Unknown|AS10194
10195|Unknown|AS10195
10196|Unknown|AS10196
10197|Unknown|AS10197
10198|Unknown|AS10198
10199|IN|TATA-AS Tata Communications Ltd
101|US|WASH-NSF-AS - University of Washington
10200|NZ|NETSMART-AP Web hosting provider and ISP connectivity.
10201|IN|DWL-AS-IN Dishnet Wireless Limited. Broadband Wireless
10202|HK|BOCI-HK-AP BOC International Holdings Limited
10203|AU|DATACOMWA-AS-AP Datacom MetroIX
10204|MY|ARCNET-NTTMSC-MY Arcnet NTT MSC ISP
10205|HK|ONCC-AS-AP ON.CC(HK) LIMITED
10206|CN|CUZW-CN China Unicom Zhongwei Cloud
10207|AU|INTERVOLVE-ADELAIDE-AS-AP Interhost Pacific Pty Ltd t/a Intervolve.
10208|ID|THENET-AS-ID-AP PT. Millenium Internetindo
10209|JP|SYNOPSYS-AS-JP-AP Japan HUB and Data Center
10212|CN|CHINAENTERCOM China Enterprise Communications Ltd.
10213|AU|WORKCOVER-AS-AP Workcover Corporation
10215|IN|MICROLANDNET-AS-AP Microland Limited. IT Infra Service Provider. India
10217|ID|NTT-NET-ID-AS PT. NTT Indonesia
10218|AU|MINCOM-LIMITED-AS-AP Optus Customer Network
10219|MN|SKYCC-AS-MAIN SKYMEDIA CORPORATION LLC
10220|ID|SNET-ID-AP PT. Sejahtera Globalindo
10221|AU|HEWLETT-PACKARD Multi-homed connections to multiple ISP's providing
10222|HK|MITL-HK Multibyte Info Technology Limited
10223|AU|UECOMM-AU Uecomm Ltd
10225|IN|NETTLINX-IN-AP Nettlinx Limited
10226|LA|ETL-IX-AS-AP Enterprise of Telecommunications Lao
