TLD,AbuseDomains,TotalDomainCount,abusePercent
helsinki,2,1,2.0
now,2,1,2.0
bnl,2,1,2.0
dodge,2,1,2.0
taobao,2,1,2.0
boehringer,2,1,2.0
bond,2,1,2.0
book,2,1,2.0
booking,2,1,2.0
nike,2,1,2.0
dish,2,1,2.0
talk,2,1,2.0
tab,2,1,2.0
swiftcover,2,1,2.0
nowtv,2,1,2.0
tdk,2,1,2.0
stcgroup,2,1,2.0
delta,2,1,2.0
budapest,2,1,2.0
oldnavy,2,1,2.0
starhub,2,1,2.0
star,2,1,2.0
buy,2,1,2.0
staples,2,1,2.0
srt,2,1,2.0
ollo,2,1,2.0
spot,2,1,2.0
dealer,2,1,2.0
tci,2,1,2.0
doha,2,1,2.0
ups,2,1,2.0
nba,2,1,2.0
mint,2,1,2.0
uconnect,2,1,2.0
mls,2,1,2.0
mobile,2,1,2.0
mobily,2,1,2.0
mopar,2,1,2.0
tvs,2,1,2.0
bestbuy,2,1,2.0
tushu,2,1,2.0
tunes,2,1,2.0
mormon,2,1,2.0
moto,2,1,2.0
dvr,2,1,2.0
dot,2,1,2.0
netflix,2,1,2.0
tmall,2,1,2.0
tkmaxx,2,1,2.0
tjx,2,1,2.0
tjmaxx,2,1,2.0
newholland,2,1,2.0
duns,2,1,2.0
dunlop,2,1,2.0
blockbuster,2,1,2.0
thd,2,1,2.0
dtv,2,1,2.0
drive,2,1,2.0
deal,2,1,2.0
song,2,1,2.0
dds,2,1,2.0
comcast,2,1,2.0
scor,2,1,2.0
scholarships,2,1,2.0
coupon,2,1,2.0
pnc,2,1,2.0
politie,2,1,2.0
pramerica,2,1,2.0
contact,2,1,2.0
prime,2,1,2.0
save,2,1,2.0
progressive,2,1,2.0
compare,2,1,2.0
chrysler,2,1,2.0
cipriani,2,1,2.0
call,2,1,2.0
circle,2,1,2.0
qvc,2,1,2.0
citadel,2,1,2.0
read,2,1,2.0
reliance,2,1,2.0
richardli,2,1,2.0
sakura,2,1,2.0
safety,2,1,2.0
safe,2,1,2.0
ril,2,1,2.0
room,2,1,2.0
clinique,2,1,2.0
pin,2,1,2.0
pid,2,1,2.0
secure,2,1,2.0
seek,2,1,2.0
calvinklein,2,1,2.0
smile,2,1,2.0
open,2,1,2.0
sling,2,1,2.0
data,2,1,2.0
origins,2,1,2.0
sina,2,1,2.0
cyou,2,1,2.0
silk,2,1,2.0
caravan,2,1,2.0
showtime,2,1,2.0
ott,2,1,2.0
shia,2,1,2.0
shaw,2,1,2.0
cartier,2,1,2.0
pars,2,1,2.0
case,2,1,2.0
caseih,2,1,2.0
pay,2,1,2.0
pccw,2,1,2.0
cruise,2,1,2.0
select,2,1,2.0
phone,2,1,2.0
cbre,2,1,2.0
piaget,2,1,2.0
bcg,2,1,2.0
rogers,2,1,2.0
etisalat,2,1,2.0
xfinity,2,1,2.0
akdn,2,1,2.0
alfaromeo,2,1,2.0
alibaba,2,1,2.0
alipay,2,1,2.0
jeep,2,1,2.0
giving,2,1,2.0
ally,2,1,2.0
jot,2,1,2.0
joy,2,1,2.0
gap,2,1,2.0
gallup,2,1,2.0
kindle,2,1,2.0
kosher,2,1,2.0
lamer,2,1,2.0
ftr,2,1,2.0
metlife,2,1,2.0
lancia,2,1,2.0
free,2,1,2.0
lasalle,2,1,2.0
latino,2,1,2.0
lds,2,1,2.0
lifeinsurance,2,1,2.0
flickr,2,1,2.0
iveco,2,1,2.0
godaddy,2,1,2.0
aigo,2,1,2.0
honeywell,2,1,2.0
abarth,2,1,2.0
abbvie,2,1,2.0
hdfc,2,1,2.0
hbo,2,1,2.0
zero,2,1,2.0
hkt,2,1,2.0
homedepot,2,1,2.0
homegoods,2,1,2.0
you,2,1,2.0
homesense,2,1,2.0
hot,2,1,2.0
intuit,2,1,2.0
yamaxun,2,1,2.0
hotels,2,1,2.0
yahoo,2,1,2.0
hughes,2,1,2.0
ibm,2,1,2.0
icbc,2,1,2.0
got,2,1,2.0
imdb,2,1,2.0
agakhan,2,1,2.0
goodyear,2,1,2.0
like,2,1,2.0
frontier,2,1,2.0
audible,2,1,2.0
fast,2,1,2.0
winners,2,1,2.0
fire,2,1,2.0
banamex,2,1,2.0
viking,2,1,2.0
virgin,2,1,2.0
weibo,2,1,2.0
weatherchannel,2,1,2.0
author,2,1,2.0
weather,2,1,2.0
watches,2,1,2.0
avianca,2,1,2.0
loft,2,1,2.0
wanggou,2,1,2.0
ferrari,2,1,2.0
lplfinancial,2,1,2.0
lpl,2,1,2.0
fido,2,1,2.0
viva,2,1,2.0
fiat,2,1,2.0
fedex,2,1,2.0
bananarepublic,2,1,2.0
baseball,2,1,2.0
mckinsey,2,1,2.0
farmers,2,1,2.0
wtc,2,1,2.0
maserati,2,1,2.0
wow,2,1,2.0
locker,2,1,2.0
athleta,2,1,2.0
marshalls,2,1,2.0
wolterskluwer,2,1,2.0
rightathome,1,1,1.0
grocery,1,1,1.0
hdfcbank,2,2,1.0
ping,2,2,1.0
imamat,2,2,1.0
hgtv,1,1,1.0
mitsubishi,1,1,1.0
playstation,1,1,1.0
hyundai,1,1,1.0
play,1,1,1.0
quest,2,2,1.0
map,1,1,1.0
msd,1,1,1.0
redumbrella,2,2,1.0
movistar,1,1,1.0
hangout,1,1,1.0
guge,1,1,1.0
comsec,1,1,1.0
epson,1,1,1.0
hair,1,1,1.0
rocher,2,2,1.0
macys,1,1,1.0
northwesternmutual,3,3,1.0
final,1,1,1.0
infiniti,1,1,1.0
flir,2,2,1.0
nfl,2,2,1.0
firestone,1,1,1.0
nhk,1,1,1.0
lancome,1,1,1.0
lefrak,1,1,1.0
olayangroup,2,2,1.0
lifestyle,1,1,1.0
ladbrokes,1,1,1.0
olayan,2,2,1.0
office,2,2,1.0
obi,1,1,1.0
living,1,1,1.0
nikon,1,1,1.0
lincoln,2,2,1.0
docs,2,2,1.0
dclk,1,1,1.0
goldpoint,1,1,1.0
jcp,2,2,1.0
fidelity,1,1,1.0
phd,1,1,1.0
itau,2,2,1.0
norton,1,1,1.0
passagens,2,2,1.0
lotte,1,1,1.0
panasonic,1,1,1.0
lacaixa,1,1,1.0
ggee,1,1,1.0
george,1,1,1.0
kddi,1,1,1.0
gb,1,1,1.0
nexus,1,1,1.0
datsun,1,1,1.0
epost,1,1,1.0
aaa,2,2,1.0
pwc,2,2,1.0
android,1,1,1.0
vuelos,2,2,1.0
xn--jlq61u9w7b,1,1,1.0
verisign,1,1,1.0
vana,1,1,1.0
bom,1,1,1.0
bofa,1,1,1.0
capitalone,1,1,1.0
shouji,1,1,1.0
americanfamily,1,1,1.0
shangrila,1,1,1.0
alstom,1,1,1.0
xn--kpu716f,1,1,1.0
target,2,2,1.0
bcn,1,1,1.0
airtel,1,1,1.0
symantec,1,1,1.0
anquan,1,1,1.0
xn--mgbaakc7dvf,1,1,1.0
cal,1,1,1.0
xn--80aqecdr1a,1,1,1.0
asda,1,1,1.0
aramco,2,2,1.0
box,2,2,1.0
arab,1,1,1.0
xn--9krt00a,1,1,1.0
warman,1,1,1.0
xn--b4w605ferd,1,1,1.0
xn--eckvdtc9d,1,1,1.0
xn--estv75g,1,1,1.0
xn--fzys8d69uvgm,1,1,1.0
spiegel,1,1,1.0
walmart,1,1,1.0
aol,1,1,1.0
xn--gk3at1e,1,1,1.0
xihuan,1,1,1.0
xn--3oq18vl8pn36a,1,1,1.0
cbn,2,2,1.0
travelersinsurance,2,2,1.0
xn--tiq49xqyj,1,1,1.0
bharti,1,1,1.0
sas,2,2,1.0
toshiba,1,1,1.0
active,1,1,1.0
yodobashi,1,1,1.0
yun,1,1,1.0
xn--pbt977c,1,1,1.0
zappos,2,2,1.0
zip,2,2,1.0
zippo,1,1,1.0
samsclub,1,1,1.0
cityeats,1,1,1.0
zuerich,2,2,1.0
cbs,2,2,1.0
trv,2,2,1.0
xn--nqv7fs00ema,1,1,1.0
xn--mgbt3dhd,1,1,1.0
ceb,2,2,1.0
search,1,1,1.0
xn--mgbb9fbpob,1,1,1.0
telefonica,1,1,1.0
unicom,2,2,1.0
xn--mgbi4ecexp,1,1,1.0
xn--mxtq1m,1,1,1.0
beats,2,2,1.0
xn--ngbe9e0a,1,1,1.0
afamilycompany,1,1,1.0
beauty,1,1,1.0
xn--mgba3a4f16a,5,6,0.8333333333333334
tui,2,3,0.6666666666666666
dupont,2,3,0.6666666666666666
travelers,2,3,0.6666666666666666
bbc,2,3,0.6666666666666666
mtr,2,3,0.6666666666666666
mit,2,3,0.6666666666666666
mutual,2,3,0.6666666666666666
lilly,2,3,0.6666666666666666
analytics,2,3,0.6666666666666666
pfizer,2,3,0.6666666666666666
pohl,2,3,0.6666666666666666
jmp,2,3,0.6666666666666666
ieee,2,3,0.6666666666666666
amica,2,3,0.6666666666666666
